yearBuilt,longitude,latitude,price,bedrooms,bathrooms,area
-1.0,-74.060498,40.744749,"$1,795/mo",2.0,1.0,
-1.0,-74.056415,40.730923,"$1,400/mo",1.0,1.0,800.0
-1.0,-74.069763,40.73465,"$1,000/mo",1.0,1.0,
-1.0,-74.059548,40.738973,"$2,500/mo",4.0,2.0,
-1.0,-74.076021,40.732496,$620/mo,3.0,1.0,1250.0
-1.0,-74.066856,40.737696,"$2,205/mo",1.0,1.0,658.0
-1.0,-74.06358,40.72772,"$1,475/mo",1.0,1.0,600.0
-1.0,-74.053305,40.732709,"$1,750/mo",2.0,1.0,600.0
-1.0,-74.068296,40.724932,"$2,300/mo",3.0,1.0,
-1.0,-74.060476,40.745255,"$1,795/mo",2.0,1.0,773.0
-1.0,-74.071743,40.732427,"$1,350/mo",1.0,1.0,
-1.0,-74.059211,40.731148,"$1,725/mo",1.0,1.0,
-1.0,-74.065408,40.731661,"$1,516/mo",0.0,1.0,500.0
2004.0,-74.051661,40.733502,"$2,000/mo",2.0,1.0,3900.0
-1.0,-74.070604,40.725201,"$1,554/mo",2.0,1.0,
-1.0,-74.058834,40.73164,"$1,699/mo",1.0,1.0,600.0
-1.0,-74.06858,40.73023,"$2,695/mo",4.0,1.0,2218.0
-1.0,-74.053234,40.737379,"$1,050/mo",1.0,1.0,750.0
-1.0,-74.058131,40.738563,"$1,300/mo",0.0,1.0,
-1.0,-74.057092,40.73637,"$1,650/mo",2.0,1.0,1000.0
-1.0,-74.059073,40.738141,"$1,400/mo",1.0,1.0,528.0
-1.0,-74.060038,40.733257,"$2,800/mo",3.0,1.0,
-1.0,-74.068897,40.738999,"$3,300/mo",2.0,2.0,1281.0
-1.0,-74.068861,40.732761,"$2,148/mo",2.0,1.0,
-1.0,-74.067535,40.737917,"$2,895/mo",2.0,2.0,958.0
-1.0,-73.905143,40.719532,"$2,650/mo",3.0,1.0,1375.0
-1.0,-73.7671,40.76907,"$1,250/mo",0.0,1.0,550.0
-1.0,-73.996217,40.747067,"$2,500/mo",1.0,1.0,500.0
-1.0,-73.997605,40.750397,"$2,350/mo",0.0,1.0,
-1.0,-74.001715,40.748087,"$5,900/mo",1.0,1.0,893.0
-1.0,-73.99631,40.750326,"$2,380/mo",1.0,1.0,600.0
2016.0,-73.98938,40.746995,"$4,650/mo",1.0,1.0,679.0
-1.0,-73.987122,40.748412,"$4,054/mo",0.0,1.0,
-1.0,-73.997986,40.753795,"$4,250/mo",2.0,1.0,
-1.0,-74.001466,40.751615,"$7,995/mo",2.0,2.0,
-1.0,-74.001319,40.74792,"$3,600/mo",2.0,1.0,
1910.0,-73.988384,40.745475,"$6,495/mo",1.0,1.0,1009.0
-1.0,-73.998512,40.754904,"$2,850/mo",1.0,1.0,
-1.0,-73.993124,40.746085,"$6,869/mo",2.0,2.0,1800.0
-1.0,-73.989217,40.747915,"$4,290/mo",1.0,1.0,
-1.0,-73.988573,40.721879,"$2,650/mo",1.0,1.0,600.0
-1.0,-73.986706,40.720726,"$2,435/mo",1.0,1.0,800.0
-1.0,-73.984904,40.719956,"$2,550/mo",1.0,1.0,
-1.0,-73.989563,40.720179,"$3,700/mo",1.0,1.0,800.0
-1.0,-73.988616,40.721629,"$3,650/mo",2.0,1.0,
-1.0,-73.990119,40.715211,"$3,200/mo",2.0,1.0,
-1.0,-73.991617,40.713728,"$3,450/mo",3.0,1.0,
-1.0,-73.984546,40.720659,"$2,400/mo",0.0,1.0,
-1.0,-73.99195,40.715499,"$3,250/mo",1.0,1.0,
-1.0,-73.985293,40.718932,"$3,000/mo",2.0,1.0,
-1.0,-73.989653,40.720884,"$2,075/mo",0.0,1.0,
-1.0,-73.989339,40.720233,"$3,900/mo",2.0,1.0,
-1.0,-73.983744,40.720156,"$8,095/mo",4.0,2.0,
-1.0,-73.98788,40.721522,"$2,495/mo",1.0,1.0,
-1.0,-73.98854,40.720912,"$2,195/mo",0.0,1.0,
-1.0,-73.982674,40.71849,"$4,299/mo",3.0,1.0,800.0
-1.0,-73.991948,40.722407,"$4,499/mo",3.0,1.0,
-1.0,-73.987284,40.720864,"$3,575/mo",1.0,1.0,
-1.0,-73.983111,40.717774,"$2,850/mo",2.0,1.0,789.0
-1.0,-73.990312,40.718481,"$2,250/mo",0.0,1.0,450.0
-1.0,-73.984346,40.719011,"$6,400/mo",4.0,1.0,
-1.0,-73.988476,40.721039,"$4,000/mo",2.0,1.0,
-1.0,-73.989291,40.720481,"$4,000/mo",2.0,1.0,
-1.0,-73.992222,40.718031,"$2,150/mo",0.0,1.0,
-1.0,-73.98781,40.718316,"$4,945/mo",1.0,2.0,
-1.0,-73.993259,40.721038,"$6,395/mo",2.0,2.0,900.0
-1.0,-73.993839,40.715045,"$2,750/mo",1.0,1.0,
-1.0,-73.988573,40.721879,"$2,650/mo",1.0,1.0,600.0
-1.0,-73.986706,40.720726,"$2,435/mo",1.0,1.0,800.0
-1.0,-73.984904,40.719956,"$2,550/mo",1.0,1.0,
-1.0,-73.989563,40.720179,"$3,700/mo",1.0,1.0,800.0
-1.0,-73.988616,40.721629,"$3,650/mo",2.0,1.0,
-1.0,-73.990119,40.715211,"$3,200/mo",2.0,1.0,
-1.0,-73.991617,40.713728,"$3,450/mo",3.0,1.0,
-1.0,-73.984546,40.720659,"$2,400/mo",0.0,1.0,
-1.0,-73.99195,40.715499,"$3,250/mo",1.0,1.0,
-1.0,-73.985293,40.718932,"$3,000/mo",2.0,1.0,
-1.0,-73.989653,40.720884,"$2,075/mo",0.0,1.0,
-1.0,-73.989339,40.720233,"$3,900/mo",2.0,1.0,
-1.0,-73.983744,40.720156,"$8,095/mo",4.0,2.0,
-1.0,-73.98788,40.721522,"$2,495/mo",1.0,1.0,
-1.0,-73.98854,40.720912,"$2,195/mo",0.0,1.0,
-1.0,-73.982674,40.71849,"$4,299/mo",3.0,1.0,800.0
-1.0,-73.991948,40.722407,"$4,499/mo",3.0,1.0,
-1.0,-73.987284,40.720864,"$3,575/mo",1.0,1.0,
-1.0,-73.983111,40.717774,"$2,850/mo",2.0,1.0,789.0
-1.0,-73.990312,40.718481,"$2,250/mo",0.0,1.0,450.0
-1.0,-73.984346,40.719011,"$6,400/mo",4.0,1.0,
-1.0,-73.988476,40.721039,"$4,000/mo",2.0,1.0,
-1.0,-73.989291,40.720481,"$4,000/mo",2.0,1.0,
-1.0,-73.992222,40.718031,"$2,150/mo",0.0,1.0,
-1.0,-73.98781,40.718316,"$4,945/mo",1.0,2.0,
-1.0,-73.993259,40.721038,"$6,395/mo",2.0,2.0,900.0
-1.0,-73.993839,40.715045,"$2,750/mo",1.0,1.0,
-1.0,-73.990311,40.72712,"$4,500/mo",1.0,1.0,700.0
-1.0,-73.992216,40.734142,"$2,740/mo",0.0,1.0,
-1.0,-73.986833,40.73209,"$2,782/mo",2.0,1.0,550.0
-1.0,-73.987426,40.725894,"$2,650/mo",1.0,1.0,600.0
2007.0,-73.987833,40.732956,"$8,650/mo",2.0,2.0,1165.0
-1.0,-73.987653,40.724933,"$2,495/mo",1.0,1.0,
1960.0,-73.986599,40.734106,"$2,800/mo",0.0,1.0,450.0
1926.0,-73.994036,40.730276,"$4,600/mo",2.0,1.0,700.0
-1.0,-73.989245,40.724162,"$4,350/mo",2.0,1.0,
-1.0,-73.981856,40.735611,"$2,646/mo",0.0,1.0,
-1.0,-73.98592,40.729166,"$2,000/mo",0.0,1.0,
-1.0,-73.992293,40.735132,"$3,700/mo",1.0,1.0,700.0
-1.0,-73.989042,40.725873,"$5,675/mo",2.0,2.0,
-1.0,-73.991281,40.724312,"$4,600/mo",1.0,1.0,572.0
1961.0,-73.99311,40.736155,"$4,795/mo",1.0,1.0,158565.0
-1.0,-73.98857,40.728697,"$3,500/mo",2.0,1.0,700.0
-1.0,-73.991086,40.725021,"$3,000/mo",1.0,1.0,
